NORAD_CAT_ID_1,OBJECT_NAME_1,DSE_1,NORAD_CAT_ID_2,OBJECT_NAME_2,DSE_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,MAX_PROB,DILUTION
61787,OBJECT BE [+],3.896,65413,STARLINK-35003 [+],3.891,2026-08-17 19:57:33.433,0.013,12.165,3.827E-01,0.004
57059,STARLINK-6211 [P],5.447,58594,STARLINK-31075 [+],4.982,2026-08-18 17:15:47.036,0.018,5.059,1.000E+00,0.000
68600,KUIPER-00317 [+],3.434,63332,SPHEREX DEB [-],3.418,2026-08-16 21:04:52.971,0.024,14.096,3.688E-03,0.012
59290,AEROCUBE 16A [+],6.714,66053,OBJECT A [-],6.661,2026-08-20 14:03:53.027,0.025,8.446,5.977E-03,0.007
62902,COSMOS 2581 [+],0.604,62904,COSMOS 2583 [+],0.604,2026-08-14 07:36:58.483,0.025,0.000,6.790E-03,0.006
53633,STARLINK-4593 [+],2.551,64532,TRANSPORTER-14 OBJECT E [+],2.597,2026-08-16 11:14:04.498,0.026,13.041,1.055E-01,0.010
53286,STARLINK-4165 [+],6.515,63993,SCS-01 M [+],5.912,2026-08-19 20:17:28.140,0.030,14.160,7.041E-02,0.014
52744,GHGSAT-C5 [+],4.269,58715,STARLINK-31102 [+],4.235,2026-08-18 04:28:39.936,0.031,14.778,5.473E-02,0.018
62902,COSMOS 2581 [+],6.447,62903,COSMOS 2582 [+],6.447,2026-08-20 03:50:56.396,0.033,0.000,3.994E-03,0.008
62902,COSMOS 2581 [+],0.538,62904,COSMOS 2583 [+],0.538,2026-08-14 06:01:29.493,0.033,0.000,6.790E-03,0.006
55109,ASTROCAST-0402 [+],2.717,62921,STARLINK-32917 [+],2.913,2026-08-16 13:02:03.086,0.037,7.213,7.624E-02,0.010
66780,FOSSASAT-2E24 [+],5.319,51832,OBJECT J [-],5.050,2026-08-19 00:51:30.947,0.039,1.441,2.908E-03,0.009
51949,OBJECT D [+],2.294,66627,STARLINK-35904 [+],2.263,2026-08-16 04:37:35.011,0.040,5.732,6.863E-02,0.011
55604,STARLINK-5748 [+],7.538,12848,AUREOLE 3 [?],6.862,2026-08-20 20:20:32.023,0.040,10.782,5.836E-02,0.013
43613,ICESAT-2 [+],2.121,57347,STARLINK-6378 [+],2.365,2026-08-16 00:41:49.327,0.045,13.000,3.769E-02,0.018
51772,STARLINK-3623 [+],4.778,63215,TEVEL2-6 [+],4.825,2026-08-18 12:32:48.428,0.045,14.608,2.877E-02,0.024
62902,COSMOS 2581 [+],0.671,62904,COSMOS 2583 [+],0.671,2026-08-14 09:12:36.513,0.047,0.000,6.790E-03,0.006
43441,ZHUHAI-1 OHS-02 [+],6.877,53031,STARLINK-4137 [+],6.937,2026-08-20 20:28:55.763,0.053,14.546,2.041E-02,0.029
59909,TIANQI-25 [+],3.199,4420,SL-3 R/B [-],3.391,2026-08-17 01:30:07.656,0.054,7.225,3.689E-03,0.014
68818,STARLINK-37450 [+],1.697,56175,FALCON 9 R/B [-],1.472,2026-08-15 05:44:53.524,0.054,10.100,3.667E-02,0.015
39177,COSMOS 2486 [+],0.631,34021,COSMOS 2251 DEB [-],0.687,2026-08-14 13:38:59.176,0.056,14.793,5.190E-04,0.036
51726,STARLINK-3527 [P],1.983,14795,JD 3 [?],1.758,2026-08-15 16:34:31.491,0.056,13.045,2.473E-02,0.022
53905,STARLINK-5003 [+],5.001,66997,OBJECT E [+],4.881,2026-08-18 16:36:40.546,0.057,5.746,3.631E-02,0.015
62902,COSMOS 2581 [+],6.423,62903,COSMOS 2582 [+],6.423,2026-08-20 03:16:19.777,0.062,0.000,3.994E-03,0.008
62079,SUPERVIEW NEO-2 03 [+],4.593,62080,SUPERVIEW NEO-2 04 [+],4.659,2026-08-15 02:19:59.944,0.063,0.001,1.120E-03,0.015
62079,SUPERVIEW NEO-2 03 [+],4.659,62080,SUPERVIEW NEO-2 04 [+],4.725,2026-08-15 03:54:49.877,0.064,0.001,1.120E-03,0.015
62079,SUPERVIEW NEO-2 03 [+],4.527,62080,SUPERVIEW NEO-2 04 [+],4.593,2026-08-15 00:45:09.766,0.066,0.001,1.120E-03,0.015
63239,TEVEL2-8 [+],7.599,64605,STARLINK-34516 [+],6.725,2026-08-20 06:55:53.619,0.066,14.676,1.289E-02,0.037
62366,TIANQI-34 [+],0.606,69862,QIANFAN-233 [+],0.608,2026-08-14 12:26:00.270,0.067,5.573,9.269E-04,0.017
65622,STARLINK-35247 [+],6.144,66295,LEMUR-2-AFFIE-WAUWIE [+],6.495,2026-08-19 17:57:17.148,0.067,10.873,2.162E-02,0.021
69852,QIANFAN-223 [+],1.239,5446,THORAD AGENA D DEB [-],1.536,2026-08-15 02:55:58.018,0.067,5.842,9.012E-04,0.017
69987,STARLINK-38099 [+],2.448,100107,STARLINK-37864 [+],1.966,2026-08-15 23:00:04.165,0.068,15.264,3.403E-02,0.044
44907,GONETS-M 16 [+],5.058,7196,DELTA 1 DEB [-],5.094,2026-08-19 00:56:44.927,0.069,14.145,3.190E-04,0.047
54142,ONEWEB-0524 [+],4.788,5615,SL-8 R/B [-],4.713,2026-08-18 16:27:17.910,0.069,8.599,7.063E-03,0.020
62079,SUPERVIEW NEO-2 03 [+],4.725,62080,SUPERVIEW NEO-2 04 [+],4.790,2026-08-15 05:29:39.569,0.070,0.001,1.120E-03,0.015
46083,STARLINK-1579 [+],2.720,19573,COSMOS 1975 [?],2.935,2026-08-16 15:42:28.570,0.071,12.377,1.677E-02,0.026
48469,STARLINK-2661 [+],7.630,62610,EDISON-1 [+],7.151,2026-08-20 22:32:07.985,0.073,14.691,1.049E-02,0.041
62079,SUPERVIEW NEO-2 03 [+],4.461,62080,SUPERVIEW NEO-2 04 [+],4.527,2026-08-14 23:10:19.321,0.073,0.001,1.120E-03,0.015
49400,HIBARI [+],1.826,66110,STARLINK-35427 [+],1.598,2026-08-15 11:53:34.657,0.075,14.748,9.738E-03,0.043
57036,OBJECT AJ [+],6.346,100139,PESSOA [+],6.400,2026-08-20 06:47:03.553,0.075,14.473,3.459E-04,0.040
57908,STARLINK-30464 [P],4.497,66563,STARLINK-35437 [+],5.082,2026-08-18 07:46:47.160,0.075,2.599,6.831E-02,0.019
67880,STARLINK-36821 [+],3.792,69776,KUIPER-00617 [+],3.668,2026-08-17 14:38:04.657,0.076,14.091,1.121E-02,0.036
40717,DMC3-FM3 [+],4.878,56271,CZ-6A DEB [-],5.145,2026-08-18 18:39:25.898,0.078,14.937,2.622E-04,0.051
62902,COSMOS 2581 [+],0.737,62904,COSMOS 2583 [+],0.737,2026-08-14 10:48:21.378,0.078,0.000,6.790E-03,0.006
49761,STARLINK-3203 [+],1.491,64875,REAL [+],1.668,2026-08-15 10:16:20.298,0.079,14.525,9.414E-03,0.042
52744,GHGSAT-C5 [+],1.841,69688,STARLINK-37908 [+],2.171,2026-08-15 18:11:58.026,0.079,7.291,1.868E-02,0.021
57166,METEOR-M2 3 [+],4.196,813,OPS 4467 B [?],4.272,2026-08-18 04:33:51.823,0.079,11.741,4.730E-04,0.028
62079,SUPERVIEW NEO-2 03 [+],4.790,62080,SUPERVIEW NEO-2 04 [+],4.856,2026-08-15 07:04:29.038,0.079,0.001,1.120E-03,0.015
53221,STARLINK-4377 [+],7.264,66735,FLOCK 4H-32 [+],7.421,2026-08-21 04:20:47.889,0.080,2.214,1.977E-02,0.019
58703,TIANMU-1 18 [+],0.354,63995,STARLINK-34154 [+],0.403,2026-08-14 07:58:54.019,0.081,13.535,1.111E-02,0.035
39451,SWARM B [+],2.521,59936,STARLINK-31962 [+],3.202,2026-08-16 10:56:12.286,0.082,13.844,1.012E-02,0.037
66337,STARLINK-34783 [+],1.750,43431,CZ-4B DEB [-],1.776,2026-08-15 15:43:20.224,0.082,0.780,1.932E-02,0.020
42956,IRIDIUM 100 [+],3.258,30548,FENGYUN 1C DEB [-],5.442,2026-08-17 04:35:39.994,0.083,14.629,2.450E-04,0.051
55452,STARLINK-5683 [+],1.192,58703,TIANMU-1 18 [+],0.746,2026-08-14 17:23:06.951,0.083,12.091,1.285E-02,0.029
61779,ALTAIR (RS65S) [+],4.662,68710,STARLINK-36859 [+],4.869,2026-08-18 13:35:40.154,0.083,11.860,1.289E-02,0.029
62079,SUPERVIEW NEO-2 03 [+],4.395,62080,SUPERVIEW NEO-2 04 [+],4.461,2026-08-14 21:35:28.592,0.083,0.001,1.120E-03,0.015
66367,STARLINK-35846 [+],7.173,65946,CZ-2D R/B [-],6.619,2026-08-20 13:54:54.762,0.084,13.229,1.088E-02,0.034
66797,STARLINK-36099 [+],7.690,10251,DELTA 1 DEB [-],8.056,2026-08-21 04:57:02.720,0.086,5.981,1.630E-02,0.022
56397,STARLINK-6271 [P],7.307,62100,STARLINK-33566 [+],7.699,2026-08-21 04:52:16.417,0.087,0.316,5.270E-02,0.021
39088,SAPPHIRE [+],1.071,61454,CZ-6A DEB [-],1.547,2026-08-15 00:38:19.962,0.088,14.892,1.966E-04,0.060
43023,JILIN-1 05 [+],5.742,52369,STARLINK-3841 [+],5.730,2026-08-19 15:31:33.773,0.088,14.663,7.321E-03,0.049
55034,LYNK TOWER 4 [+],0.841,65839,STARLINK-35102 [+],0.693,2026-08-14 13:29:04.326,0.089,14.255,7.969E-03,0.044
57751,STARLINK-30370 [P],3.416,69959,STARLINK-37907 [+],3.221,2026-08-17 03:18:24.139,0.089,11.296,1.189E-02,0.029
58827,STARLINK-31271 [+],6.223,69786,KUIPER-00639 [+],5.600,2026-08-19 13:24:54.225,0.090,11.877,1.102E-02,0.031
62079,SUPERVIEW NEO-2 03 [+],4.856,62080,SUPERVIEW NEO-2 04 [+],4.922,2026-08-15 08:39:18.313,0.091,0.001,1.120E-03,0.015
62429,STARLINK-32418 [+],2.663,68753,SL-4 R/B [-],2.226,2026-08-16 03:29:30.781,0.091,12.350,1.041E-02,0.033
39634,SENTINEL-1A [+],3.040,30127,FENGYUN 1C DEB [-],3.482,2026-08-16 01:06:38.614,0.092,14.555,2.125E-04,0.053
44353,FORMOSAT 7-6 [+],2.431,64813,STARLINK-34685 [+],2.004,2026-08-15 22:15:34.754,0.093,11.027,1.109E-02,0.030
48218,ONEWEB-0196 [+],0.973,22971,TUBSAT B [?],0.706,2026-08-14 15:48:33.578,0.093,12.878,1.514E-03,0.040
55054,SKYKRAFT-1A [+],6.025,63796,STARLINK-33918 [+],6.225,2026-08-19 17:38:33.432,0.093,10.411,1.156E-02,0.029
52746,GHGSAT-C4 [+],4.901,67879,STARLINK-36818 [+],5.045,2026-08-18 20:45:47.779,0.094,14.453,6.791E-03,0.049
53394,STARLINK-4544 [+],4.475,57196,HORS 2 [+],4.433,2026-08-18 09:08:32.456,0.094,14.624,6.468E-03,0.052
69881,CUBY-2 [+],1.994,69902,CUBY-1 [+],2.061,2026-08-15 17:10:05.609,0.094,0.000,4.929E-04,0.022
43641,SAOCOM 1A [+],1.604,35848,IRIDIUM 33 DEB [-],2.813,2026-08-15 04:36:21.188,0.095,14.467,2.088E-04,0.053
51854,STARLINK-3541 [P],1.568,68833,HJS-9C [+],3.068,2026-08-15 06:15:43.192,0.095,9.959,1.142E-02,0.029
62079,SUPERVIEW NEO-2 03 [+],4.329,62080,SUPERVIEW NEO-2 04 [+],4.395,2026-08-14 20:00:37.546,0.095,0.001,1.120E-03,0.015
51951,OBJECT F [+],5.936,69486,STARLINK-37893 [+],5.964,2026-08-19 22:08:28.876,0.096,14.939,1.867E-04,0.058
44390,ICEYE-X4 [+],1.356,12139,SL-8 R/B [-],1.501,2026-08-15 07:22:06.607,0.097,13.284,1.306E-03,0.040
43252,IRIDIUM 140 [+],5.290,87426,UNKNOWN [-],6.936,2026-08-18 20:17:05.253,0.099,12.194,2.870E-04,0.037
55946,STARLINK-5857 [+],0.855,28499,ARIANE 5 R/B [-],0.449,2026-08-14 08:57:54.704,0.099,14.710,5.448E-03,0.058
63835,HERMES-3 [+],2.177,69184,STARLINK-37428 [+],2.417,2026-08-15 21:18:48.464,0.099,14.523,5.973E-03,0.053
61758,SITRO-AIS 20 [+],2.091,64309,STARLINK-34370 [+],2.088,2026-08-16 00:53:13.307,0.101,10.839,9.600E-03,0.032
61759,SITRO-AIS 19 [+],0.621,64312,STARLINK-34384 [+],0.619,2026-08-14 13:43:36.096,0.101,11.269,9.261E-03,0.033
100115,STARLINK-38044 [+],1.674,100181,STARLINK-38112 [+],1.775,2026-08-15 11:35:40.956,0.102,15.292,1.521E-02,0.067
49261,CS1 [+],4.572,69683,STARLINK-37990 [+],4.538,2026-08-18 10:55:03.522,0.103,14.392,5.712E-03,0.053
23893,USA 119 [+],6.175,51798,STARLINK-3634 [+],6.336,2026-08-20 01:46:04.168,0.104,6.732,1.108E-02,0.027
58321,PROTOMETHEE [+],6.446,69029,STARLINK-37635 [+],6.838,2026-08-20 09:47:13.555,0.104,13.999,6.107E-03,0.049
62079,SUPERVIEW NEO-2 03 [+],4.922,62080,SUPERVIEW NEO-2 04 [+],4.988,2026-08-15 10:14:07.393,0.105,0.001,1.120E-03,0.015
64568,IRIDE-MS2-HEO-3 [+],6.450,69930,TRANSPORTER-17 OBJECT BP [+],6.457,2026-08-20 09:54:06.702,0.105,14.356,1.779E-04,0.056
67374,AETHER-3 [+],4.993,14820,SL-14 R/B [-],4.393,2026-08-18 05:52:17.434,0.105,13.953,4.649E-04,0.050
